Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,European Union,EUU,420308868,429342455,441419873,442496175,443601373,444570054,445515422,446215182,447001100,447367191,447692315,447199800
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,482851894,612395529,817111040,837103087,856705624,876118480,895949553,916099469,936387926,957446713,979418527,1001462452
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,358121820,475127894,667520863,686620331,706617213,727129254,748356635,770390212,792615894,815100831,838066650,861156745
"Population, total",SP.POP.TOTL,High income,HIC,1026705783,1101322358,1191244446,1198018009,1204882945,1211637779,1218545401,1224733163,1230678232,1235869243,1240900955,1240629858
"Population, total",SP.POP.TOTL,IBRD only,IBD,3471751539,3999140171,4539500289,4588990832,4638292836,4686050627,4731948335,4776473096,4817627754,4855633857,4889761166,4917520297
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,4319808510,5093906989,5997941575,6079383316,6160758687,6241291929,6321324033,6401367406,6479097294,6554880269,6628067973,6695397735
"Population, total",SP.POP.TOTL,IDA blend,IDB,284421830,370910722,495868522,506443358,516900084,527175885,537358412,547984961,559155599,570633332,582637127,595016031
"Population, total",SP.POP.TOTL,IDA only,IDX,563635141,723856096,962572764,983949126,1005565767,1028065417,1052017286,1076909349,1102313941,1128613080,1155669680,1182861407
"Population, total",SP.POP.TOTL,IDA total,IDA,848056971,1094766818,1458441286,1490392484,1522465851,1555241302,1589375698,1624894310,1661469540,1699246412,1738306807,1777877438
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1847943137,2046027286,2211789266,2227938007,2243581628,2258039271,2272117455,2286564636,2298987320,2309491520,2317277311,2321862159
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,441597528,521281149,602139396,608642242,615046755,621390109,627668470,633797190,639628226,645295804,650534967,654981699
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,397075672,468884433,541792264,547701523,553532904,559317823,565136972,571144463,577406030,583500375,588808380,593308001
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,426479901,505304844,585986944,592507619,598949385,605335594,611668087,617875842,623841282,629515571,634680385,639188695
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,513968735,662018171,885375140,907133963,929398042,951928215,975265947,999288864,1023493788,1048193552,1073743450,1099568566
"Population, total",SP.POP.TOTL,Low & middle income,LMY,4247060780,5018572610,5920180850,6001328521,6082432550,6162743397,6242647248,6322861019,6401272453,6477841008,6551590116,6619578961
"Population, total",SP.POP.TOTL,Low income,LIC,302800184,400821583,565535976,580126164,594773454,610047256,626382245,643485701,661256583,680013468,699186538,718255072
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2016581827,2459549814,2996702087,3042938624,3089095464,3134736445,3180221060,3225575822,3270214763,3313903477,3357118135,3398187527
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,256203998,321037453,414117603,422790409,431664579,440506473,448917409,456885486,465073490,473201775,479966649,486167363
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,228846359,283899110,356239722,363310225,370756356,378137339,385054538,391607422,398375344,405259403,411810124,418047201
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,226868111,280976957,352259724,359233517,366582958,373867247,380687450,387152617,393806257,400574097,407006855,413124452
"Population, total",SP.POP.TOTL,Middle income,MIC,3944260596,4617751027,5354644874,5421202357,5487659096,5552696141,5616265003,5679375318,5740015870,5797827540,5852403578,5901323889
"Population, total",SP.POP.TOTL,North America,NAC,277373464,312909974,348656682,351207902,353888902,356507139,359245796,361731237,363967201,365995094,369602177,370203720
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1104791543,1200179492,1305615104,1314072465,1323005691,1331743060,1340532342,1348646085,1356241793,1362922537,1370241530,1372736513
"Population, total",SP.POP.TOTL,Other small states,OSS,17806417,21437978,27617274,28225516,28907278,29620768,30309723,30940039,31494217,32005203,32381190,32708003
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,1776243,2035672,2353058,2379069,2405308,2431426,2457814,2484263,2510226,2536070,2566819,2602173
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,964048985,1020793420,1082488958,1087230525,1092179620,1097061415,1102020063,1106214534,1110126741,1113310738,1117443485,1116796245
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,417144782,553089230,784822780,808542070,832469778,856420253,880891473,905987912,931467165,957503246,984213438,1011043183
"Population, total",SP.POP.TOTL,Small states,SST,25640496,30055791,37059328,37740469,38493630,39276796,40032809,40727936,41379093,41965375,42392777,42792053
"Population, total",SP.POP.TOTL,South Asia,SAS,1141434379,1406946728,1708114582,1731137145,1753568847,1775178483,1796850154,1818868706,1840534093,1861598514,1882531620,1901911604
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1141434379,1406946728,1708114582,1731137145,1753568847,1775178483,1796850154,1818868706,1840534093,1861598514,1882531620,1901911604
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,516629688,671212486,929328653,955096428,981506334,1008698525,1036155715,1063885000,1092403699,1121548775,1151301807,1181162739
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,516560181,671131355,929240350,955006479,981414975,1008605106,1036061038,1063789157,1092306937,1121451150,1151203345,1181063481
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,516629688,671212486,929328653,955096428,981506334,1008698525,1036155715,1063885000,1092403699,1121548775,1151301807,1181162739
"Population, total",SP.POP.TOTL,Upper middle income,UMC,1927678769,2158201213,2357942787,2378263733,2398563632,2417959696,2436043943,2453799496,2469801107,2483924063,2495285443,2503136362
"Population, total",SP.POP.TOTL,World,WLD,5293517142,6144322697,7140895722,7229184551,7317508753,7404910892,7491934113,7578157615,7661776338,7742681934,7820981524,7888408686
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,,,,,,
